year,GEOID,NAME,state,county,tract,total_units_b25024,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_home,boat_rv_van,total_housing_units,total_units_b25002,occupied_units,vacant_units,tenure_total,owner_occupied,renter_occupied,pop_in_occupied_total,pop_in_owner_occupied,pop_in_renter_occupied,median_income_all_occupied,median_income_owner_occupied,median_income_renter_occupied,units_by_tenure_total,owner_units_total,owner_1_detached,owner_1_attached,owner_2,owner_3_4,owner_5_9,owner_10_19,owner_20_49,owner_50_plus,owner_mobile_home,owner_boat_rv_van,renter_units_total,renter_1_detached,renter_1_attached,renter_2,renter_3_4,renter_5_9,renter_10_19,renter_20_49,renter_50_plus,renter_mobile_home,renter_boat_rv_van,median_owner_costs_total,median_owner_costs_with_mortgage,median_owner_costs_no_mortgage,median_household_income,single_family_units,pct_single_family,pct_vacant,pct_occupied,pct_renter_occupied,pct_owner_occupied,renter_single_family,pct_sf_renter_occupied,owner_renter_income_gap
2009,49035102801,"Census Tract 1028.01, Salt Lake County, Utah",49,035,102801,1723,1548,21,122,17,0,0,15,0,0,0,1723,1723,1605,118,1605,1058,547,5726,3631,2095,41797.0,50343.0,36250.0,1605,1058,1035,14,9,0,0,0,0,0,0,0,547,425,7,83,17,0,0,15,0,0,0,999.0,1099.0,272.0,41797.0,1569,0.9106210098665118,0.06848520023215322,0.9315147997678468,0.34080996884735204,0.659190031152648,432,0.27533460803059273,14093.0
2009,49035102802,"Census Tract 1028.02, Salt Lake County, Utah",49,035,102802,1287,909,94,52,0,27,59,120,26,0,0,1287,1287,1215,72,1215,696,519,4808,2923,1885,43107.0,51250.0,25188.0,1215,696,641,9,46,0,0,0,0,0,0,0,519,218,63,6,0,27,59,120,26,0,0,1144.0,1371.0,328.0,43107.0,1003,0.7793317793317793,0.055944055944055944,0.9440559440559441,0.4271604938271605,0.5728395061728395,281,0.28015952143569295,26062.0
2009,49035102900,"Census Tract 1029, Salt Lake County, Utah",49,035,102900,1561,669,64,135,120,67,140,99,221,46,0,1561,1561,1509,52,1509,520,989,3772,1530,2242,26439.0,42449.0,21409.0,1509,520,485,17,8,10,0,0,0,0,0,0,989,132,47,127,110,67,140,99,221,46,0,958.0,998.0,277.0,26439.0,733,0.4695707879564382,0.033311979500320305,0.9666880204996797,0.655400927766733,0.3445990722332671,179,0.24420190995907232,21040.0
2009,49035103000,"Census Tract 1030, Salt Lake County, Utah",49,035,103000,1382,800,54,325,148,0,0,12,0,43,0,1382,1382,1310,72,1310,667,643,2828,1345,1483,46526.0,51678.0,36761.0,1310,667,637,20,0,10,0,0,0,0,0,0,643,153,34,263,138,0,0,12,0,43,0,1118.0,1176.0,318.0,46526.0,854,0.61794500723589,0.05209840810419682,0.9479015918958031,0.4908396946564885,0.5091603053435114,187,0.2189695550351288,14917.0
2009,49035103100,"Census Tract 1031, Salt Lake County, Utah",49,035,103100,1973,1360,18,135,236,37,101,78,8,0,0,1973,1973,1771,202,1771,1095,676,3817,2432,1385,40043.0,49792.0,30817.0,1771,1095,1052,9,34,0,0,0,0,0,0,0,676,191,9,101,209,9,71,78,8,0,0,995.0,1143.0,300.0,40043.0,1378,0.6984287886467309,0.10238215914850482,0.8976178408514952,0.38170525127046867,0.6182947487295314,200,0.14513788098693758,18975.0
2009,49035103200,"Census Tract 1032, Salt Lake County, Utah",49,035,103200,2630,1325,28,153,311,72,16,66,654,5,0,2630,2630,2449,181,2449,1214,1235,4666,2672,1994,29764.0,51898.0,13661.0,2449,1214,1140,14,14,13,14,0,0,14,5,0,1235,146,14,139,282,58,16,66,514,0,0,1080.0,1167.0,232.0,29764.0,1353,0.5144486692015209,0.0688212927756654,0.9311787072243346,0.504287464271131,0.4957125357288689,160,0.11825572801182557,38237.0
2009,49035103300,"Census Tract 1033, Salt Lake County, Utah",49,035,103300,2104,813,36,257,261,52,182,270,233,0,0,2104,2104,1902,202,1902,726,1176,3728,1617,2111,45588.0,66563.0,35750.0,1902,726,618,9,42,57,0,0,0,0,0,0,1176,195,27,167,155,52,182,165,233,0,0,1209.0,1449.0,342.0,45588.0,849,0.4035171102661597,0.09600760456273764,0.9039923954372624,0.6182965299684543,0.38170347003154576,222,0.26148409893992935,30813.0
2009,49035103400,"Census Tract 1034, Salt Lake County, Utah",49,035,103400,1936,1285,70,245,253,18,54,0,11,0,0,1936,1936,1876,60,1876,1140,736,4139,2582,1557,52100.0,64811.0,31410.0,1876,1140,1051,8,81,0,0,0,0,0,0,0,736,198,62,151,242,18,54,0,11,0,0,1268.0,1408.0,270.0,52100.0,1355,0.699896694214876,0.030991735537190084,0.96900826446281,0.39232409381663114,0.6076759061833689,260,0.1918819188191882,33401.0
2009,49035103500,"Census Tract 1035, Salt Lake County, Utah",49,035,103500,1796,1264,55,218,245,0,14,0,0,0,0,1796,1796,1616,180,1616,1038,578,3621,2547,1074,60331.0,71484.0,43115.0,1616,1038,978,20,40,0,0,0,0,0,0,0,578,186,35,98,245,0,14,0,0,0,0,1322.0,1495.0,418.0,60331.0,1319,0.7344097995545658,0.10022271714922049,0.8997772828507795,0.35767326732673266,0.6423267326732673,221,0.16755117513267628,28369.0
2009,49035103600,"Census Tract 1036, Salt Lake County, Utah",49,035,103600,1078,1000,18,17,27,0,0,0,0,16,0,1078,1078,976,102,976,853,123,2496,2245,251,81731.0,89750.0,28750.0,976,853,819,18,0,0,0,0,0,0,16,0,123,106,0,17,0,0,0,0,0,0,0,1642.0,2206.0,501.0,81731.0,1018,0.9443413729128015,0.09461966604823747,0.9053803339517625,0.1260245901639344,0.8739754098360656,106,0.10412573673870335,61000.0
2009,49035103700,"Census Tract 1037, Salt Lake County, Utah",49,035,103700,1125,973,27,111,14,0,0,0,0,0,0,1125,1125,1125,0,1125,876,249,2857,2277,580,95240.0,106131.0,45307.0,1125,876,876,0,0,0,0,0,0,0,0,0,249,97,27,111,14,0,0,0,0,0,0,1768.0,1879.0,328.0,95240.0,1000,0.8888888888888888,0.0,1.0,0.22133333333333333,0.7786666666666666,124,0.124,60824.0
2009,49035103800,"Census Tract 1038, Salt Lake County, Utah",49,035,103800,1080,697,111,166,30,51,25,0,0,0,0,1080,1080,1068,12,1068,676,392,2463,1626,837,51750.0,72794.0,39122.0,1068,676,611,6,59,0,0,0,0,0,0,0,392,86,105,95,30,51,25,0,0,0,0,1321.0,1563.0,339.0,51750.0,808,0.7481481481481481,0.011111111111111112,0.9888888888888889,0.36704119850187267,0.6329588014981273,191,0.23638613861386137,33672.0
2009,49035103900,"Census Tract 1039, Salt Lake County, Utah",49,035,103900,1501,1155,54,140,34,0,47,60,0,11,0,1501,1501,1455,46,1455,1017,438,3909,2638,1271,62224.0,68750.0,50139.0,1455,1017,978,28,0,0,0,0,0,0,11,0,438,167,26,104,34,0,47,60,0,0,0,1292.0,1581.0,379.0,62224.0,1209,0.8054630246502332,0.030646235842771485,0.9693537641572285,0.30103092783505153,0.6989690721649484,193,0.15963606286186932,18611.0
2009,49035104000,"Census Tract 1040, Salt Lake County, Utah",49,035,104000,1250,1044,62,144,0,0,0,0,0,0,0,1250,1250,1169,81,1169,924,245,3352,2553,799,77303.0,92963.0,46875.0,1169,924,872,52,0,0,0,0,0,0,0,0,245,148,10,87,0,0,0,0,0,0,0,1217.0,1723.0,473.0,77303.0,1106,0.8848,0.0648,0.9352,0.20958083832335328,0.7904191616766467,158,0.14285714285714285,46088.0
2009,49035104100,"Census Tract 1041, Salt Lake County, Utah",49,035,104100,1147,859,123,82,0,0,57,14,0,12,0,1147,1147,1125,22,1125,853,272,2995,2448,547,87404.0,100347.0,62750.0,1125,853,747,48,11,0,0,21,14,0,12,0,272,90,75,71,0,0,36,0,0,0,0,1585.0,2104.0,451.0,87404.0,982,0.8561464690496948,0.01918047079337402,0.980819529206626,0.24177777777777779,0.7582222222222222,165,0.1680244399185336,37597.0
2009,49035104200,"Census Tract 1042, Salt Lake County, Utah",49,035,104200,2707,1798,200,150,17,16,35,203,275,13,0,2707,2707,2686,21,2686,2331,355,7001,5976,1025,80366.0,82332.0,72070.0,2686,2331,1742,145,16,0,16,35,174,190,13,0,355,56,55,134,17,0,0,29,64,0,0,1069.0,2172.0,560.0,80366.0,1998,0.7380864425563354,0.007757665312153676,0.9922423346878463,0.13216679076693968,0.8678332092330603,111,0.05555555555555555,10262.0
2009,49035104300,"Census Tract 1043, Salt Lake County, Utah",49,035,104300,1346,862,15,28,0,34,116,215,76,0,0,1346,1346,1193,153,1193,609,584,3034,1746,1288,61198.0,93750.0,45682.0,1193,609,579,0,10,0,0,13,7,0,0,0,584,197,15,18,0,34,70,174,76,0,0,1512.0,1957.0,408.0,61198.0,877,0.6515601783060921,0.11367013372956909,0.8863298662704309,0.4895222129086337,0.5104777870913663,212,0.24173318129988597,48068.0
